이름,자치구,위도,경도
봉천역.관악초등학교,관악구,37.4824403435,126.9431518504
KT&G관악지점,관악구,37.4844754738,126.9373129096
신림사거리.신림역,관악구,37.4841492836,126.9278542438
남부초등학교,관악구,37.4834020208,126.922044754
호림박물관,관악구,37.4827231582,126.9183765847
난곡입구,관악구,37.4822370031,126.915722964
관악구보훈회관.신림푸르지오,관악구,37.481361666,126.9112396639
천주교성령봉사회관.등불교회,관악구,37.4807554146,126.9079578883
KT구로지사,관악구,37.4802646679,126.9049986272
난곡입구,관악구,37.4819399662,126.9161388018
남서울중학교.성보중고등학교,관악구,37.4828195546,126.9210108639
신림사거리.신림역,관악구,37.483817804,126.9280626243
KT&G관악지점,관악구,37.484533,126.936125
봉천역.관악초등학교,관악구,37.4820551447,126.9431153969
KT관악지점,관악구,37.4814828857,126.9484610699
서울대입구역1번출구.샤로수길,관악구,37.4803684653,126.9545837877
낙성대동,관악구,37.4792747849,126.9573911237
낙성대입구,관악구,37.4778444821,126.9608874889
인헌중고.서울미술고,관악구,37.4756534429,126.9666239506
예술인마을.사당초등학교,관악구,37.4759368363,126.9738846758
남서울농협남현동지점,관악구,37.476370961,126.9773008972
서울대학교,관악구,37.4667414611,126.9479522861
서울대학교,관악구,37.4668539107,126.9488427043
서울여상.서울문영여중고앞,관악구,37.4731604796,126.9533001437
관악구청,관악구,37.4779819797,126.9524977507
봉천사거리.봉천중앙시장,관악구,37.4828873794,126.9542258337
봉원중학교.행운동우성아파트,관악구,37.4849010896,126.9559128703
관악푸르지오아파트,관악구,37.4877034434,126.9581660971
성현동동아아파트,관악구,37.488401645,126.957732596
봉원중학교.행운동우성아파트,관악구,37.4848580279,126.955335791
봉천사거리.봉천중앙시장,관악구,37.4831545464,126.9538387042
관악구청,관악구,37.4793471271,126.9521875661
관악경찰서.관악소방서,관악구,37.475253,126.952572
서울여상.서울문영여중고앞,관악구,37.473002,126.952845
신림중.삼성고.관악아트홀?도서관,관악구,37.470352,126.944412
서울산업정보학교.삼성교,관악구,37.4710142867,126.941124806
신성초등학교,관악구,37.4710779706,126.9374233711
서울대벤처타운역1번출구,관악구,37.473206969,126.933686278
쑥고개입구,관악구,37.4761917072,126.9374950813
서원역1번출구.신관중학교,관악구,37.4786498144,126.9323856945
신림사거리,관악구,37.4819257882,126.9300715056
신림동별빛거리입구,관악구,37.4858478867,126.9296319572
