정류소번호,정류소명,경도,위도,정류소타입,자치구
120000090,은천초등학교,126.9424344854,37.486084336,일반차로,관악구
120000091,두산.벽산아파트.서울관광고등학교,126.945256088,37.4867862492,일반차로,관악구
120000092,현대시장앞,126.947932,37.486735,일반차로,관악구
120000093,관악동부센트레빌아파트앞,126.951997229,37.4862395065,일반차로,관악구
120000094,중앙동성당앞,126.9546624721,37.4858038301,일반차로,관악구
120000095,중앙동성당앞,126.9551938213,37.4859234164,일반차로,관악구
120000096,관악동부센트레빌아파트앞,126.95130163,37.4864744102,일반차로,관악구
120000098,벽산.두산아파트.서울관광고등학교,126.9451745389,37.4869646301,일반차로,관악구
120000099,은천초등학교,126.942448318,37.4863200172,일반차로,관악구
120000100,봉일시장,126.9389872733,37.4862623399,일반차로,관악구
120000101,은천교,126.9355505303,37.4864887267,일반차로,관악구
120000102,신림청소년독서실.신림체육센터,126.914797,37.480922,일반차로,관악구
120000103,난곡우체국사거리,126.915601446,37.4771890136,일반차로,관악구
120000104,신일교회앞.도깨비시장,126.9167650134,37.4754531432,일반차로,관악구
120000105,세이브마트앞,126.918037,37.47385703,일반차로,관악구
120000106,남강중고등학교입구,126.9195218742,37.4722574159,일반차로,관악구
120000107,우림시장.난곡보건분소,126.9200007204,37.4705471261,일반차로,관악구
120000108,난우중학교입구,126.92054078,37.4666919669,일반차로,관악구
120000109,신림복지관앞,126.9196773902,37.4652824875,일반차로,관악구
120000110,신림복지관앞,126.919495,37.465357,일반차로,관악구
120000111,난우중학교입구,126.920348,37.467392,일반차로,관악구
120000112,우림시장.난곡보건분소,126.9197417798,37.470667112,일반차로,관악구
120000113,남강중고등학교입구,126.9191422392,37.4725557947,일반차로,관악구
120000114,세이브마트앞,126.9174336686,37.4739579362,일반차로,관악구
120000115,신일교회앞.도깨비시장,126.916574,37.475399,일반차로,관악구
120000116,난곡우체국사거리,126.9154305767,37.4769808612,일반차로,관악구
120000117,신림청소년독서실.신림체육센터,126.9146624536,37.480315301,일반차로,관악구
120000118,KT구로지사,126.90539986,37.4812745555,일반차로,관악구
120000119,골목시장앞,126.9053800168,37.4815094057,일반차로,관악구
120000120,조원동주민센터,126.9074141948,37.4834358832,일반차로,관악구
120000121,조원동주민센터,126.9070563124,37.483184422,일반차로,관악구
120000122,신대방역,126.9130032118,37.4865794735,일반차로,관악구
120000123,신대방역,126.9126962022,37.4866700184,일반차로,관악구
120000124,보라매공원입구,126.9174897386,37.4891229048,일반차로,관악구
120000125,보라매공원입구,126.9178010867,37.489435269,일반차로,관악구
120000126,보라매파크뷰아파트,126.9220386039,37.4896486343,일반차로,관악구
120000127,롯데관악점,126.9251647188,37.4897262326,일반차로,관악구
120000128,롯데관악점,126.9257070748,37.4901297758,일반차로,관악구
120000129,당곡역,126.9270622168,37.4892995107,일반차로,관악구
120000130,당곡중학교,126.9305421031,37.488084986,일반차로,관악구
120000131,당곡중학교,126.9319168564,37.487948574,일반차로,관악구
120000134,봉현초등학교,126.9554672808,37.4907157496,일반차로,관악구
120000135,동아아파트105동앞,126.955414395,37.49052765,일반차로,관악구
120000137,관악드림타운115동,126.9527938777,37.490522127,일반차로,관악구
120000138,관악드림타운115동,126.9530108571,37.490144527,일반차로,관악구
120000139,관악드림타운북문,126.951276815,37.491600782,일반차로,관악구
120000140,관악드림타운북문,126.9510801201,37.4915440732,일반차로,관악구
120000141,구암중학교,126.9483401995,37.4924641868,일반차로,관악구
120000142,구암중학교,126.9484647078,37.4922862923,일반차로,관악구
120000143,벽산아파트.적십자남부봉사관,126.946532,37.492953,일반차로,관악구
